2.9687 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
10.2914 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000015C5E648040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000015C621A7E80>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.2916 	EXP 	window1: mouseVisible = True
10.2917 	EXP 	window1: mouseVisible = False
10.2917 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.2918 	EXP 	window1: recordFrameIntervals = False
10.3602 	EXP 	window1: recordFrameIntervals = True
10.4366 	EXP 	Screen (0) actual frame rate measured at 143.89Hz
10.4368 	EXP 	window1: recordFrameIntervals = False
14.4328 	EXP 	Created GA = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='GA', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([32., 64.]), tex='sqr', texRes=512.0, units='deg', win=Window(...))
14.4374 	EXP 	Created aperture = Aperture(__class__=<class 'psychopy.visual.aperture.Aperture'>, anchor=('center', 'center'), autoLog=True, inverted=False, nVert=UNKNOWN, name='aperture', ori=0.0, pos=array([0., 0.]), shape=UNKNOWN, size=array([128.]), units='deg', win=Window(...))
14.6427 	EXP 	Created placeholder = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='placeholder', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Initial grating acuity\ntest', units='height', win=Window(...), wrapWidth=1)
14.6432 	EXP 	Created sequence: sequential, trialTypes=1, nReps=24, seed=None
14.6435 	EXP 	New trial (rep=0, index=0): None
14.6446 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
14.6448 	EXP 	New trial (rep=0, index=0): None
14.7228 	EXP 	aperture: enabled = False
14.7228 	EXP 	GA: sf = array([0.8, 0.8])
14.7228 	EXP 	aperture: enabled = True
14.7228 	EXP 	GA: autoDraw = True
14.7228 	EXP 	aperture: enabled = True
14.7228 	EXP 	GA: tex = 'sqr'
15.7393 	EXP 	GA: autoDraw = False
15.7393 	EXP 	aperture: enabled = False
15.7393 	EXP 	GA: autoDraw = False
15.7393 	EXP 	aperture: autoDraw = False
15.7393 	EXP 	aperture: enabled = False
15.7393 	EXP 	placeholder: autoDraw = True
16.7211 	EXP 	New trial (rep=1, index=0): None
16.7323 	EXP 	placeholder: autoDraw = False
16.7323 	EXP 	GA: sf = array([0.8, 0.8])
16.7323 	EXP 	aperture: enabled = True
16.7323 	EXP 	GA: autoDraw = True
16.7323 	EXP 	aperture: enabled = True
17.7297 	EXP 	GA: autoDraw = False
17.7297 	EXP 	aperture: enabled = False
17.7297 	EXP 	GA: autoDraw = False
17.7297 	EXP 	aperture: autoDraw = False
17.7297 	EXP 	aperture: enabled = False
17.7297 	EXP 	placeholder: autoDraw = True
18.7283 	EXP 	New trial (rep=2, index=0): None
18.7390 	EXP 	placeholder: autoDraw = False
18.7390 	EXP 	GA: sf = array([0.8, 0.8])
18.7390 	EXP 	aperture: enabled = True
18.7390 	EXP 	GA: autoDraw = True
18.7390 	EXP 	aperture: enabled = True
19.7425 	EXP 	GA: autoDraw = False
19.7425 	EXP 	aperture: enabled = False
19.7425 	EXP 	GA: autoDraw = False
19.7425 	EXP 	aperture: autoDraw = False
19.7425 	EXP 	aperture: enabled = False
19.7425 	EXP 	placeholder: autoDraw = True
20.7416 	EXP 	New trial (rep=3, index=0): None
20.7531 	EXP 	placeholder: autoDraw = False
20.7531 	EXP 	GA: sf = array([0.8, 0.8])
20.7531 	EXP 	aperture: enabled = True
20.7531 	EXP 	GA: autoDraw = True
20.7531 	EXP 	aperture: enabled = True
21.3219 	DATA 	Keypress: escape
21.9154 	EXP 	window1: mouseVisible = True
